ORI,year,department_id,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,latitude,longitude
NM00101,1975,1,286238.0,30.0,181.0,819.0,1353.0,2383.0,12.0,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,35.106766,-106.629181
TX22001,1975,2,112478.0,5.0,28.0,113.0,132.0,278.0,12.0,247.15944451359402,4.44531375024449,24.8937570013692,100.46409075552602,117.356283006455,32.705002,-97.12278
GAAPD00,1975,3,490584.0,185.0,443.0,3887.0,3518.0,8033.0,12.0,1637.4361984899601,37.710157689610796,90.3005397648517,792.320988862254,717.104512173247,33.753746,-84.38633
CO00101,1975,4,116656.0,7.0,44.0,171.0,389.0,611.0,12.0,523.76217254149,6.00054862158826,37.7177341928405,146.584830613085,333.45905911397597,39.710835,-104.8125
TX22701,1975,5,300400.0,33.0,190.0,529.0,463.0,1215.0,12.0,404.460719041278,10.985352862849501,63.24900133155789,176.09853528628503,154.127829560586,30.266666,-97.73333
MDBPD00,1975,6,864100.0,259.0,463.0,9055.0,6309.0,16086.0,12.0,1861.59009373915,29.9733827103345,53.5817613702118,1047.9111213979902,730.123828260618,39.299236,-76.609383
MD00301,1975,7,642154.0,25.0,137.0,750.0,347.0,1259.0,12.0,196.058889300697,3.89314712670169,21.3344462543253,116.79441380105101,54.0368821186195,39.299236,-76.609383
MA01301,1975,8,616120.0,119.0,453.0,7778.0,3036.0,11386.0,12.0,1848.01662013893,19.3144192689736,73.5246380575213,1262.4164123872001,492.761150425242,42.361145,-71.057083
NY01401,1975,9,422276.0,63.0,192.0,2340.0,755.0,3350.0,12.0,793.3200087146789,14.919152402694,45.4678930367816,554.1399463857759,178.79301688942797,42.88023,-78.878738
NC06001,1975,10,262103.0,68.0,71.0,822.0,976.0,1937.0,12.0,739.022445374528,25.9439991148518,27.0885873110953,313.617165770708,372.372693177873,35.227085,-80.843124
ILCPD00,1975,11,3150000.0,818.0,1657.0,22171.0,12514.0,37160.0,12.0,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,41.881832,-87.623177
OHCIP00,1975,12,433367.0,64.0,261.0,1745.0,1508.0,3578.0,12.0,825.6281627350489,14.768083402751,60.226090126844,402.661024028133,347.972965177321,39.103119,-84.512016
OHCLP00,1975,13,659931.0,288.0,491.0,7100.0,2524.0,10403.0,12.0,1576.3769242542,43.6409260968192,74.4017177553411,1075.87005308131,382.464227320735,41.505493,-81.68129
OHCOP00,1975,14,572797.0,62.0,416.0,2402.0,1100.0,3980.0,12.0,694.8360413898821,10.824079036726802,72.62607869803792,419.34577171319,192.040111941927,39.983334,-82.98333
TXDPD00,1975,15,864665.0,237.0,547.0,3386.0,3485.0,7655.0,12.0,885.31396552422,27.4094591547015,63.261494335956705,391.596745560419,403.046266473143,32.89748,-97.040443
CODPD00,1975,16,508140.0,74.0,480.0,2568.0,1838.0,4960.0,12.0,976.1089463533671,14.562915731884901,94.462156098713,505.372535128114,361.711339394655,39.742043,-104.991531
MI82349,1975,17,1432444.0,633.0,1424.0,21317.0,7013.0,30387.0,12.0,2121.3394729567103,44.1902091809523,99.41051796789259,1488.1559069673901,489.58283884047097,42.331429,-83.045753
