year,total_population,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime
1975,686147.5797101449,429.7971014492754,353.0,4223.115942028986,2595.782608695652,22372.710144927536
1976,685825.5797101449,392.84057971014494,346.7826086956522,3878.31884057971,2591.927536231884,21491.463768115944
1977,686417.0724637681,398.9710144927536,381.9710144927536,3641.014492753623,2704.246376811594,21770.55072463768
1978,680020.1014492754,408.8550724637681,407.94202898550725,3709.5652173913045,2863.608695652174,22839.101449275364
1979,680304.3188405797,454.27536231884056,456.4347826086956,4145.217391304348,3129.68115942029,25382.27536231884
1980,682658.2463768116,488.6521739130435,478.28985507246375,4922.95652173913,3318.1884057971015,28359.971014492752
1981,691947.1449275363,475.4492753623188,464.3768115942029,5188.855072463768,3241.6376811594205,28780.463768115944
1982,700565.0,443.4347826086956,444.6521739130435,4914.405797101449,3318.2753623188405,27981.347826086956
1983,708707.7391304348,411.17391304347825,460.8695652173913,4626.521739130435,3367.0,26818.884057971016
1984,710942.4782608695,395.30434782608694,488.1014492753623,4478.492753623188,3800.695652173913,27345.057971014492
1985,712920.7971014492,400.3478260869565,524.695652173913,4562.275362318841,4084.695652173913,28540.0
1986,719961.6086956522,439.81159420289856,532.4057971014493,4915.724637681159,4794.724637681159,31966.08695652174
1987clear,728286.0289855072,427.57971014492756,510.4492753623188,4602.231884057971,4980.463768115942,31736.710144927536
1988,735799.2173913043,443.5507246376812,501.27536231884056,4719.231884057971,5237.0,33226.95652173913
1989,735940.8260869565,464.1014492753623,486.84057971014494,5138.0,5630.405797101449,35263.362318840576
1990,732866.5072463768,511.6521739130435,529.5797101449275,5772.057971014493,6076.666666666667,38928.92753623189
1991,743556.5942028986,536.1014492753624,522.5797101449275,6115.130434782609,6232.260869565217,40754.82608695652
1992,750823.9130434783,514.3333333333334,510.8550724637681,5841.144927536232,6262.420289855072,40788.3768115942
1993,748447.7246376812,528.1884057971015,483.0144927536232,5662.550724637681,6246.376811594203,40477.97101449275
1994,756767.3913043478,494.81159420289856,454.71014492753625,5139.014492753623,6096.565217391304,38769.79710144927
1995,752019.2463768116,458.6521739130435,435.3768115942029,4703.478260869565,5827.95652173913,37181.782608695656
1996,759902.9130434783,414.28985507246375,425.2173913043478,4294.942028985507,5516.188405797101,34837.52173913043
1997,766394.231884058,379.15942028985506,401.8840579710145,3823.8115942028985,5329.608695652174,33382.115942028984
1998,771410.5942028986,349.0869565217391,383.9710144927536,3391.3623188405795,5096.652173913043,31205.318840579712
1999,778314.7826086957,323.82608695652175,357.6666666666667,3151.927536231884,4789.115942028986,29064.884057971016
2000,810337.2463768116,324.05797101449275,355.82608695652175,3100.144927536232,4770.159420289855,28983.521739130436
2001,821107.1304347826,335.72463768115944,346.8695652173913,3150.2753623188405,4726.04347826087,29188.521739130436
2002,832253.9275362319,338.536231884058,352.2463768115942,3088.1159420289855,4596.376811594203,28773.072463768116
2003,841408.0,344.6811594202899,340.0144927536232,3020.304347826087,4264.913043478261,27783.652173913044
2004,841943.5652173914,334.59420289855075,335.8550724637681,2848.449275362319,4152.188405797101,27148.478260869564
2005,845747.463768116,345.5507246376812,329.6521739130435,2970.855072463768,4076.6376811594205,27635.8115942029
2006,851363.231884058,357.8695652173913,321.59420289855075,3102.1884057971015,4037.6521739130435,28367.333333333332
2007,848611.0869565217,350.42028985507244,306.39130434782606,3053.68115942029,3945.4927536231885,28030.507246376812
2008,863165.0724637681,335.94202898550725,292.17391304347825,2995.31884057971,3829.1159420289855,27423.507246376812
2009,875148.0724637681,309.9130434782609,288.3333333333333,2733.550724637681,3615.8115942028985,25940.318840579712
2010,858307.8405797102,298.39130434782606,284.92753623188406,2478.753623188406,3502.8985507246375,24485.63768115942
2011,866943.2028985508,295.1159420289855,283.6666666666667,2403.2608695652175,3375.0434782608695,23623.318840579712
2012,876511.304347826,299.6376811594203,285.6376811594203,2419.391304347826,3467.289855072464,23858.0
2013,885394.463768116,284.9710144927536,329.5507246376812,2369.159420289855,3347.1304347826085,23055.144927536232
2014,896063.8695652174,282.7971014492754,392.8550724637681,2193.2753623188405,3442.304347826087,22816.420289855072
2015,906670.4492753623,315.04347826086956,426.42028985507244,2173.8840579710145,3477.7391304347825,23523.63768115942
